case_id,group,macro_level_dice_difference_cropped_minus_released,binary_dice_difference_cropped_minus_released,dice_C2_difference_cropped_minus_released,dice_C3_difference_cropped_minus_released,dice_C4_difference_cropped_minus_released,dice_C5_difference_cropped_minus_released,dice_C6_difference_cropped_minus_released,dice_C7_difference_cropped_minus_released,dice_C8_difference_cropped_minus_released,dice_T1_difference_cropped_minus_released
sub-007_ses-headNormal_009,T2w,-0.04889695971662278,-0.04060519978364929,0.028906476860637076,-0.027353757036795323,-0.020206729053719674,-0.16344955702933517,-0.09745306083695315,-0.02000667216138774,-0.05536233677826602,-0.03625004169716284
sub-010_ses-headUp_015,T2w,0.00808048084608437,0.019715600732682192,-0.015930028318457135,0.0029796572050512227,0.04007411666986138,0.08026240231693005,0.036611885224164475,0.013525153633710207,-0.026630095746104865,-0.06624924421648076
sub-amu02_215,T2w,-0.021616641065269948,-0.01545719827360248,0.0035907806383034258,-0.012639422302968994,-0.07799889441680485,-0.04536340852130327,-0.000199334223692893,-0.009198915875961777,-0.007179803457244116,-0.023944130362487548
sub-barcelona01_212,T2w,-0.018938526667018896,-0.011053571334769252,0.030694774070454733,0.00032250441922332396,-0.1070221523907724,0.0448333732917765,0.01565240214266106,-0.009895912365856852,-0.019070298958477117,-0.10702290354516031
sub-brnoUhb03_209,T2w,-0.023465374823814833,-0.021401731034326965,-0.0236354292750115,-0.00581794010635317,-0.08371786420566907,-0.023316486975991202,0.01718061013288541,-0.006082827749934072,-0.05628068711200851,-0.006052373298436775
sub-17_inv-1_part-mag_MP2RAGE,INV1,0.0022803568434384136,0.00040761106971987093,-0.002013073407763022,0.06026722911997362,-0.0514742908297432,-0.004606345201610185,0.017463632435546605,0.0476872267720444,-0.0796023987513349,0.030520874610393878
sub-17_inv-2_part-mag_MP2RAGE,INV2,0.003736698914032943,-0.0011644440077360763,0.0471903777485434,0.035238193849600474,-0.024710074954313432,-0.016016016016015988,0.024045915324985123,0.019142547638261842,-0.057775898082135124,0.0027785458033376953
sub-17_UNIT1,UNIT1,-0.01284994928393135,-0.021581834475688733,0.06377574163113486,0.011660411466470344,-0.03617093478445299,-0.00011934801882296231,-0.057540929633952964,0.0020553296678746946,-0.053605604921394434,-0.03285425967830713
sub-24_inv-1_part-mag_MP2RAGE,INV1,-0.028433757266702497,-0.029960948215125127,-0.06224549156486325,-0.07755047202058005,-0.001456374950350836,-0.03361811157913108,-0.0769804069464648,-0.01151680978727343,0.04410207732466864,-0.008204468609625093
sub-24_inv-2_part-mag_MP2RAGE,INV2,-0.033037930107991276,-0.028057324921334392,-0.08683662016995347,-0.04924105380870941,-0.04490695714193094,-0.03562312099381704,-0.01068345168220386,0.008478038815117439,0.008377425044091669,-0.05386770092652449
sub-24_UNIT1,UNIT1,-0.028997908043806753,-0.02664272843460347,-0.061895344486610715,-0.07724802371541503,-0.0694164989939638,-0.008969533151373388,-0.052774676980828605,0.0077616579032835364,0.047033159653667944,-0.016474004579214885
sub-31_inv-1_part-mag_MP2RAGE,INV1,-0.033510256811306594,-0.02805889884814672,-0.056874305733572605,0.017793384862871298,-0.07831542922331014,-0.10235604132600573,-0.006779608185402797,-0.0342590644505224,-0.012683383308848772,0.0053923928743379035
sub-31_inv-2_part-mag_MP2RAGE,INV2,-0.04250665163765743,-0.04026884696153277,-0.048048048048048075,0.011753162486943913,-0.11277518062048453,-0.04588259914199011,-0.07463608376724562,-0.018774616445562997,-0.03628301078104912,-0.01540683678382282
sub-31_UNIT1,UNIT1,-0.021599637962908202,-0.01990551443673605,-0.04625550660792954,0.08571428571428574,-0.05849151567443195,-0.10724296218060692,-0.05131741307977056,-0.035853522695628026,0.009126090221221017,0.031523440599594665
sub-37_inv-1_part-mag_MP2RAGE,INV1,-0.0070222759975359095,-0.0064650477683309004,0.004690431519699834,-0.07829043737600783,-0.039604356279269726,0.030853664381920165,0.06284953016022288,0.01002246791012118,-0.00873875936848234,-0.037960748928490884
sub-37_inv-2_part-mag_MP2RAGE,INV2,-0.026263906296939865,-0.028158059416336756,-0.021363217737840112,-0.03216572272839202,-0.04774645644210862,-0.021505376344086002,0.0236915319074944,-0.025346818665149984,-0.06561504660718509,-0.020060143758251492
sub-37_UNIT1,UNIT1,-0.026223443704222582,-0.02298823022970331,-0.04244343891402713,-0.033438786270707954,-0.08391608391608396,-0.030831054571394567,0.03093253495730275,0.0073982290625045355,-0.024852473554574872,-0.03263647642679901
